awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
1983,Peace,The Nobel Peace Prize,1,1,1500000,3715324,10/5/1983,received,for non-violent struggle for free trade unions and human rights in Poland,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1983,545,Lech Walesa,Lech Walesa,Lech,Walesa,Lech Walesa,,male,http://masterdataapi.nobelprize.org/2/laureate/545,9/29/1943,Popowo,Popowo,Europe,Poland,Poland,"Popowo, Poland",,,,,,,,,,,,,,,,,,Individual,Poland,,,,,
1982,Peace,The Nobel Peace Prize,2,2-Jan,1150000,3102518,10/13/1982,received,for their work for disarmament and nuclear and weapon-free zones,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1982,544,Alfonso García Robles,Alfonso García Robles,Alfonso,García Robles,Alfonso García Robles,,male,http://masterdataapi.nobelprize.org/2/laureate/544,3/20/1911,Zamora,Zamora,North America,Mexico,Mexico,"Zamora, Mexico",9/2/1991,Mexico City,Mexico City,North America,Mexico,Mexico,"Mexico City, Mexico",,,,,,,,,,,Individual,"Geneva, Switzerland",,,,,
1982,Peace,The Nobel Peace Prize,1,2-Jan,1150000,3102518,10/13/1982,received,for their work for disarmament and nuclear and weapon-free zones,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1982,543,Alva Myrdal,Alva Myrdal,Alva,Myrdal,Alva Myrdal,,female,http://masterdataapi.nobelprize.org/2/laureate/543,1/31/1902,Uppsala,Uppsala,Europe,Sweden,Sweden,"Uppsala, Sweden",2/1/1986,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",,,,,,,,,,,Individual,Sweden,,,,,
1981,Peace,The Nobel Peace Prize,1,1,1000000,2929688,10/14/1981,received,for promoting the fundamental rights of refugees,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1981,515,Office of the United Nations High Commissioner for Refugees,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/515,,,,,,,,,,,,,,,Office of the United Nations High Commissioner for Refugees,Office of the United Nations High Commissioner for Refugees,UNHCR,1951-00-00,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",Organization,,,,,,
1980,Peace,The Nobel Peace Prize,1,1,880000,2889667,10/27/1980,received,for being a source of inspiration to repressed people especially in Latin America,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1980,541,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,Adolfo,Pérez Esquivel,Adolfo Pérez Esquivel,,male,http://masterdataapi.nobelprize.org/2/laureate/541,11/26/1931,Buenos Aires,Buenos Aires,South America,Argentina,Argentina,"Buenos Aires, Argentina",,,,,,,,,,,,,,,,,,Individual,Argentina,,,,,
1979,Peace,The Nobel Peace Prize,1,1,800000,2988048,10/27/1979,received,for her work for bringing help to suffering humanity,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1979,540,Mother Teresa ,Mother Teresa ,Anjezë Gonxhe,Bojaxhiu,Mother Teresa ,,female,http://masterdataapi.nobelprize.org/2/laureate/540,8/26/1910,Uskup,Skopje,Europe,Ottoman Empire,North Macedonia,"Uskup, Ottoman Empire (now Skopje, North Macedonia)",9/5/1997,Calcutta,Calcutta,Asia,India,India,"Calcutta, India",,,,,,,,,,,Individual,India,,,,,
1978,Peace,The Nobel Peace Prize,1,2-Jan,725000,2898454,10/27/1978,received,for jointly having negotiated peace between Egypt and Israel in 1978,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1978,538,Anwar al-Sadat,Anwar al-Sadat,Anwar,al-Sadat,Mohamed Anwar al-Sadat,,male,http://masterdataapi.nobelprize.org/2/laureate/538,12/25/1918,Mit Abu al-Kawm,Mit Abu al-Kawm,Africa,Egypt,Egypt,"Mit Abu al-Kawm, Egypt",10/6/1981,Cairo,Cairo,Africa,Egypt,Egypt,"Cairo, Egypt",,,,,,,,,,,Individual,Egypt,,,,,
1978,Peace,The Nobel Peace Prize,2,2-Jan,725000,2898454,10/27/1978,received,for jointly having negotiated peace between Egypt and Israel in 1978,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1978,539,Menachem Begin,Menachem Begin,Menachem,Begin,Menachem Begin,,male,http://masterdataapi.nobelprize.org/2/laureate/539,8/16/1913,Brest Litovsk,Brest Litovsk,Europe,Russian Empire,Belarus,"Brest Litovsk, Russian Empire (now Belarus)",3/9/1992,Tel Aviv,Tel Aviv,Asia,Israel,Israel,"Tel Aviv, Israel",,,,,,,,,,,Individual,Israel,,,,,
1977,Peace,The Nobel Peace Prize,1,1,700000,3080986,10/10/1977,received,for worldwide respect for human rights,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1977,537,Amnesty International,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/537,,,,,,,,,,,,,,,Amnesty International,Amnesty International,,1961-00-00,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",Organization,,,,,,
1976,Peace,The Nobel Peace Prize,1,2-Jan,681000,3342605,10/10/1977,received,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1976,535,Betty Williams,Betty Williams,Betty,Williams,Elizabeth Williams,,female,http://masterdataapi.nobelprize.org/2/laureate/535,5/22/1943,Belfast,Belfast,Europe,Northern Ireland,Northern Ireland,"Belfast, Northern Ireland",3/17/2020,Belfast,Belfast,Europe,Northern Ireland,Northern Ireland,"Belfast, Northern Ireland",,,,,,,,,,,Individual,United Kingdom,,,,,
1976,Peace,The Nobel Peace Prize,2,2-Jan,681000,3342605,10/10/1977,received,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1976,536,Mairead Corrigan,Mairead Corrigan,Mairead,Corrigan,Mairead Corrigan,,female,http://masterdataapi.nobelprize.org/2/laureate/536,1/27/1944,Belfast,Belfast,Europe,Northern Ireland,Northern Ireland,"Belfast, Northern Ireland",,,,,,,,,,,,,,,,,,Individual,United Kingdom,,,,,
1975,Peace,The Nobel Peace Prize,1,1,630000,3404179,10/9/1975,received,for his struggle for human rights in the Soviet Union for disarmament and cooperation between all nations,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1975,534,Andrei Sakharov,Andrei Sakharov,Andrei,Sakharov,Andrei Dmitrievich Sakharov,,male,http://masterdataapi.nobelprize.org/2/laureate/534,5/21/1921,Moscow,Moscow,Europe,Russia,Russia,"Moscow, Russia",12/14/1989,Moscow,Moscow,Europe,USSR,Russia,"Moscow, USSR (now Russia)",,,,,,,,,,,Individual,USSR (now Russia),,,,,
1974,Peace,The Nobel Peace Prize,2,2-Jan,550000,3263449,10/9/1974,received,for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1974,533,Eisaku Sato,Eisaku Sato,Eisaku,Sato,Eisaku Sato,,male,http://masterdataapi.nobelprize.org/2/laureate/533,3/27/1901,Tabuse,Tabuse,Asia,Japan,Japan,"Tabuse, Japan",6/3/1975,Tokyo,Tokyo,Asia,Japan,Japan,"Tokyo, Japan",,,,,,,,,,,Individual,Japan,,,,,
1974,Peace,The Nobel Peace Prize,1,2-Jan,550000,3263449,10/9/1974,received,for his efforts to secure and develop human rights throughout the world,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1974,532,Seán MacBride,Seán MacBride,Seán,MacBride,Seán MacBride,,male,http://masterdataapi.nobelprize.org/2/laureate/532,1/26/1904,Paris,Paris,Europe,France,France,"Paris, France",1/15/1988,Dublin,Dublin,Europe,Ireland,Ireland,"Dublin, Ireland",,,,,,,,,,,Individual,Ireland,,,,,
1973,Peace,The Nobel Peace Prize,1,2-Jan,510000,3331882,10/17/1973,received,for jointly having negotiated a cease fire in Vietnam in 1973,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1973,530,Henry Kissinger,Henry Kissinger,Henry,Kissinger,Henry Alfred Kissinger,,male,http://masterdataapi.nobelprize.org/2/laureate/530,5/27/1923,Fürth,Fürth,Europe,Germany,Germany,"Fürth, Germany",,,,,,,,,,,,,,,,,,Individual,USA,,,,,
1973,Peace,The Nobel Peace Prize,2,2-Jan,510000,3331882,10/17/1973,declined,for jointly having negotiated a cease fire in Vietnam in 1973,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1973,531,Le Duc Tho ,Le Duc Tho ,Le Duc Tho,,Le Duc Tho ,,male,http://masterdataapi.nobelprize.org/2/laureate/531,10/14/1911,Nam Ha province,Nam Ha province,Asia,Vietnam,Vietnam,"Nam Ha province, Vietnam",10/13/1990,Hanoi,Hanoi,Asia,Vietnam,Vietnam,"Hanoi, Vietnam",,,,,,,,,,,Individual,Democratic Republic of Vietnam (now Vietnam),,,,,
1971,Peace,The Nobel Peace Prize,1,1,450000,3321850,10/21/1971,received,for paving the way for a meaningful dialogue between East and West,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1971,529,Willy Brandt,Willy Brandt,Willy,Brandt,Willy Brandt,,male,http://masterdataapi.nobelprize.org/2/laureate/529,12/18/1913,Lübeck,Lübeck,Europe,Germany,Germany,"Lübeck, Germany",10/8/1992,Unkel,Unkel,Europe,Germany,Germany,"Unkel, Germany",,,,,,,,,,,Individual,Germany,,,,,
1970,Peace,The Nobel Peace Prize,1,1,400000,3177966,10/21/1970,received,for having given a well-founded hope - the green revolution,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1970,528,Norman Borlaug,Norman Borlaug,Norman,Borlaug,Norman Ernest Borlaug,,male,http://masterdataapi.nobelprize.org/2/laureate/528,3/25/1914,"Cresco, IA","Cresco, IA",North America,USA,USA,"Cresco, IA, USA",9/12/2009,"Dallas, TX","Dallas, TX",North America,USA,USA,"Dallas, TX, USA",,,,,,,,,,,Individual,USA,,,,,
1969,Peace,The Nobel Peace Prize,1,1,375000,3181561,10/20/1969,received,for creating international legislation insuring certain norms for working conditions in every country,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1969,527,International Labour Organization,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/527,,,,,,,,,,,,,,,International Labour Organization,International Labour Organization (I.L.O.),ILO,1919-00-00,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",Organization,,,,,,
1968,Peace,The Nobel Peace Prize,1,1,350000,3052326,10/9/1968,received,for his struggle to ensure the rights of man as stipulated in the UN Declaration,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1968,526,René Cassin,René Cassin,René,Cassin,René Cassin,,male,http://masterdataapi.nobelprize.org/2/laureate/526,1887-10-05,Bayonne,Bayonne,Europe,France,France,"Bayonne, France",2/20/1976,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,Individual,France,,,,,
1965,Peace,The Nobel Peace Prize,1,1,282000,2782895,10/26/1965,received,for its effort to enhance solidarity between nations and reduce the difference between rich and poor states,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1965,525,United Nations Children's Fund,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/525,,,,,,,,,,,,,,,United Nations Children's Fund,United Nations Children's Fund (UNICEF),UNICEF,1946-00-00,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",Organization,,,,,,
1964,Peace,The Nobel Peace Prize,1,1,273000,2828039,10/14/1964,received,for his non-violent struggle for civil rights for the Afro-American population,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1964,524,Martin Luther King Jr.,Martin Luther King Jr.,Martin Luther,King Jr.,Martin Luther King Jr.,,male,http://masterdataapi.nobelprize.org/2/laureate/524,1/15/1929,"Atlanta, GA","Atlanta, GA",North America,USA,USA,"Atlanta, GA, USA",4/4/1968,"Memphis, TN","Memphis, TN",North America,USA,USA,"Memphis, TN, USA",,,,,,,,,,,Individual,USA,,,,,
1963,Peace,The Nobel Peace Prize,2,2-Jan,265000,2839286,10/10/1963,received,for promoting the principles of the Geneva Convention and cooperation with the UN,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1963,523,League of Red Cross Societies,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/523,,,,,,,,,,,,,,,League of Red Cross Societies,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies),,1919-00-00,Paris,Paris,Europe,France,France,"Paris, France",Organization,,,,,,
1963,Peace,The Nobel Peace Prize,1,2-Jan,265000,2839286,10/10/1963,received,for promoting the principles of the Geneva Convention and cooperation with the UN,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1963,482,International Committee of the Red Cross,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/482,,,,,,,,,,,,,,,International Committee of the Red Cross,Comité international de la Croix Rouge,,1863-00-00,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",Organization,,,,,,
1962,Peace,The Nobel Peace Prize,1,1,257220,2836985,10/10/1963,received,for his fight against the nuclear arms race between East and West,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1962,217,Linus Pauling,Linus Pauling,Linus,Pauling,Linus Carl Pauling,,male,http://masterdataapi.nobelprize.org/2/laureate/217,2/28/1901,"Portland, OR","Portland, OR",North America,USA,USA,"Portland, OR, USA",8/19/1994,"Big Sur, CA","Big Sur, CA",North America,USA,USA,"Big Sur, CA, USA",,,,,,,,,,,Individual,,,"California Institute of Technology (Caltech), Pasadena, CA, USA",,,
1961,Peace,The Nobel Peace Prize,1,1,250233,2878447,10/23/1961,received,for developing the UN into an effective and constructive international organization capable of giving life to the principles and aims expressed in the UN Charter,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1961,520,Dag Hammarskjöld,Dag Hammarskjöld,Dag,Hammarskjöld,Dag Hjalmar Agne Carl Hammarskjöld,,male,http://masterdataapi.nobelprize.org/2/laureate/520,7/29/1905,Jönköping,Jönköping,Europe,Sweden,Sweden,"Jönköping, Sweden",9/18/1961,Ndola,Ndola,Africa,Northern Rhodesia,Zambia,"Ndola, Northern Rhodesia (now Zambia)",,,,,,,,,,,Individual,Sweden,,,,,
1960,Peace,The Nobel Peace Prize,1,1,225987,2664941,10/23/1961,received,for his non-violent struggle against apartheid,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1960,519,Albert Luthuli,Albert Luthuli,Albert,Luthuli,Albert John Luthuli,,male,http://masterdataapi.nobelprize.org/2/laureate/519,1898-00-00,Bulawayo,Bulawayo,Africa,Southern Rhodesia,Zimbabwe,"Bulawayo, Southern Rhodesia (now Zimbabwe)",7/21/1967,Stanger,Stanger,Africa,South Africa,South Africa,"Stanger, South Africa",,,,,,,,,,,Individual,South Africa,,,,,
1959,Peace,The Nobel Peace Prize,1,1,220678,2704387,11/5/1959,received,for his longstanding contribution to the cause of disarmament and peace,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1959,518,Philip Noel-Baker,Philip Noel-Baker,Philip,Noel-Baker,Philip J. Noel-Baker,,male,http://masterdataapi.nobelprize.org/2/laureate/518,1889-11-01,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",10/8/1982,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",,,,,,,,,,,Individual,United Kingdom,,,,,
1958,Peace,The Nobel Peace Prize,1,1,214559,2646698,11/10/1958,received,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1958,517,Georges Pire,Georges Pire,Georges,Pire,Georges Pire,,male,http://masterdataapi.nobelprize.org/2/laureate/517,2/10/1910,Dinant,Dinant,Europe,Belgium,Belgium,"Dinant, Belgium",1/30/1969,Leuven,Leuven,Europe,Belgium,Belgium,"Leuven, Belgium",,,,,,,,,,,Individual,Belgium,,,,,
1957,Peace,The Nobel Peace Prize,1,1,208629,2697789,10/3/1957,received,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1957,516,Lester Bowles Pearson,Lester Bowles Pearson,Lester Bowles,Pearson,Lester Bowles Pearson,,male,http://masterdataapi.nobelprize.org/2/laureate/516,1897-04-23,Toronto,Toronto,North America,Canada,Canada,"Toronto, Canada",12/27/1972,Ottawa,Ottawa,North America,Canada,Canada,"Ottawa, Canada",,,,,,,,,,,Individual,Canada,,,,,
1954,Peace,The Nobel Peace Prize,1,1,181647,2640218,11/5/1955,received,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1954,515,Office of the United Nations High Commissioner for Refugees,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/515,,,,,,,,,,,,,,,Office of the United Nations High Commissioner for Refugees,Office of the United Nations High Commissioner for Refugees,UNHCR,1951-00-00,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",Organization,,,,,,
1953,Peace,The Nobel Peace Prize,1,1,175293,2567769,10/30/1953,received,for proposing and supervising the plan for the economic recovery of Europe,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1953,514,George C. Marshall,George C. Marshall,George C.,Marshall,George Catlett Marshall,,male,http://masterdataapi.nobelprize.org/2/laureate/514,1880-12-31,"Uniontown, PA","Uniontown, PA",North America,USA,USA,"Uniontown, PA, USA",10/16/1959,"Washington, DC","Washington, DC",North America,USA,USA,"Washington, DC, USA",,,,,,,,,,,Individual,USA,,,,,
1952,Peace,The Nobel Peace Prize,1,1,171135,2546652,10/30/1953,received,for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1952,513,Albert Schweitzer,Albert Schweitzer,Albert,Schweitzer,Albert Schweitzer,,male,http://masterdataapi.nobelprize.org/2/laureate/513,1875-01-14,Kaysersberg,Kaysersberg,Europe,Germany,France,"Kaysersberg, Germany (now France)",9/4/1965,Lambaréné,Lambaréné,Africa,Gabon,Gabon,"Lambaréné, Gabon",,,,,,,,,,,Individual,France,,,,,
1951,Peace,The Nobel Peace Prize,1,1,167612,2686090,,received,for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1951,512,Léon Jouhaux,Léon Jouhaux,Léon,Jouhaux,Léon Jouhaux,,male,http://masterdataapi.nobelprize.org/2/laureate/512,1879-07-01,Paris,Paris,Europe,France,France,"Paris, France",4/28/1954,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,Individual,France,,,,,
1950,Peace,The Nobel Peace Prize,1,1,164304,3050198,9/22/1950,received,for his work as mediator in Palestine in 1948-1949,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1950,511,Ralph Bunche,Ralph Bunche,Ralph,Bunche,Ralph Bunche,,male,http://masterdataapi.nobelprize.org/2/laureate/511,8/7/1904,"Detroit, MI","Detroit, MI",North America,USA,USA,"Detroit, MI, USA",12/9/1971,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,,,,,,,Individual,USA,,"Harvard University, Cambridge, MA, USA",,,
1949,Peace,The Nobel Peace Prize,1,1,156290,2930438,10/12/1949,received,for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1949,510,Lord Boyd Orr,Lord Boyd Orr,John,Boyd Orr,"John Boyd Orr, Baron Boyd-Orr of Brechin Mearn",,male,http://masterdataapi.nobelprize.org/2/laureate/510,1880-09-23,Kilmaurs,Kilmaurs,Europe,Scotland,Scotland,"Kilmaurs, Scotland",6/25/1971,Edzell,Edzell,Europe,Scotland,Scotland,"Edzell, Scotland",,,,,,,,,,,Individual,United Kingdom,,,,,
1947,Peace,The Nobel Peace Prize,2,2-Jan,146115,2914528,10/30/1947,received,for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1947,509,American Friends Service Committee,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/509,,,,,,,,,,,,,,,American Friends Service Committee,American Friends Service Committee (The Quakers),AFSC,1917-00-00,"Washington, DC","Washington, DC",North America,USA,USA,"Washington, DC, USA",Organization,,,,,,
1947,Peace,The Nobel Peace Prize,1,2-Jan,146115,2914528,10/30/1947,received,for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1947,508,Friends Service Council,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/508,,,,,,,,,,,,,,,Friends Service Council,Friends Service Council (The Quakers),,1647-00-00,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",Organization,,,,,,
1946,Peace,The Nobel Peace Prize,1,2-Jan,121524,2503929,11/14/1946,received,for her lifelong work for the cause of peace,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1946,506,Emily Greene Balch,Emily Greene Balch,Emily Greene,Balch,Emily Greene Balch,,female,http://masterdataapi.nobelprize.org/2/laureate/506,1867-01-08,"Jamaica Plain, MA","Boston, MA",North America,USA,USA,"Jamaica Plain, MA (now Boston, MA), USA",1/9/1961,"Cambridge, MA","Cambridge, MA",North America,USA,USA,"Cambridge, MA, USA",,,,,,,,,,,Individual,USA,,,,,
1946,Peace,The Nobel Peace Prize,2,2-Jan,121524,2503929,11/14/1946,received,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1946,507,John R. Mott,John R. Mott,John R.,Mott,John Raleigh Mott,,male,http://masterdataapi.nobelprize.org/2/laureate/507,1865-05-25,"Livingston Manor, NY","Livingston Manor, NY",North America,USA,USA,"Livingston Manor, NY, USA",1/31/1955,,,North America,USA,USA,USA,,,,,,,,,,,Individual,USA,,,,,
1945,Peace,The Nobel Peace Prize,1,1,121333,2499993,11/12/1945,received,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1945,505,Cordell Hull,Cordell Hull,Cordell,Hull,Cordell Hull,,male,http://masterdataapi.nobelprize.org/2/laureate/505,1871-10-02,"Olympus, TN","Olympus, TN",North America,USA,USA,"Olympus, TN, USA",7/23/1955,"Bethesda, MD","Bethesda, MD",North America,USA,USA,"Bethesda, MD, USA",,,,,,,,,,,Individual,USA,,,,,
1944,Peace,The Nobel Peace Prize,1,1,121841,2510460,11/12/1945,received,for the great work it has performed during the war on behalf of humanity,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1944,482,International Committee of the Red Cross,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/482,,,,,,,,,,,,,,,International Committee of the Red Cross,Comité international de la Croix Rouge,,1863-00-00,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",Organization,,,,,,
1938,Peace,The Nobel Peace Prize,1,1,155077,4543271,11/17/1938,received,for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1938,503,Nansen International Office for Refugees,,,,,,,http://masterdataapi.nobelprize.org/2/laureate/503,,,,,,,,,,,,,,,Nansen International Office for Refugees,Office international Nansen pour les Réfugiés (Nansen International Office for Refugees),,1921-00-00,Geneva,Geneva,Europe,Switzerland,Switzerland,"Geneva, Switzerland",Organization,,,,,,
1937,Peace,The Nobel Peace Prize,1,1,158463,4716161,11/18/1937,received,for his tireless effort in support of the League of Nations disarmament and peace,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1937,502,"Robert Cecil, Viscount Cecil of Chelwood","Robert Cecil, Viscount Cecil of Chelwood",Robert,Cecil,"Edgar Algernon Robert Gascoyne-Cecil, 1st Viscount Cecil of Chelwood",,male,http://masterdataapi.nobelprize.org/2/laureate/502,1864-09-14,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",11/24/1958,Tunbridge Wells,Tunbridge Wells,Europe,United Kingdom,United Kingdom,"Tunbridge Wells, United Kingdom",,,,,,,,,,,Individual,United Kingdom,,,,,
1936,Peace,The Nobel Peace Prize,1,1,159850,4913422,11/24/1936,received,for his role as father of the Argentine Antiwar Pact of 1933 which he also used as a means to mediate peace between Paraguay and Bolivia in 1935,,https://msterdataapi.nobelprize.org/2/nobelPrize/pea/1936,501,Carlos Saavedra Lamas,Carlos Saavedra Lamas,Carlos,Saavedra Lamas,Carlos Saavedra Lamas,,male,http://masterdataapi.nobelprize.org/2/laureate/501,1878-11-01,Buenos Aires,Buenos Aires,South America,Argentina,Argentina,"Buenos Aires, Argentina",5/5/1959,Buenos Aires,Buenos Aires,South America,Argentina,Argentina,"Buenos Aires, Argentina",,,,,,,,,,,Individual,Argentina,,,,,
1935,Peace,The Nobel Peace Prize,1,1,159917,4997406,11/24/1936,received,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1935,500,Carl von Ossietzky,Carl von Ossietzky,Carl,von Ossietzky,Carl von Ossietzky,,male,http://masterdataapi.nobelprize.org/2/laureate/500,1889-10-03,Hamburg,Hamburg,Europe,Germany,Germany,"Hamburg, Germany",5/4/1938,Berlin,Berlin,Europe,Germany,Germany,"Berlin, Germany",,,,,,,,,,,Individual,Germany,,,,,
1934,Peace,The Nobel Peace Prize,1,1,162608,5167627,12/10/1934,received,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1934,499,Arthur Henderson,Arthur Henderson,Arthur,Henderson,Arthur Henderson,,male,http://masterdataapi.nobelprize.org/2/laureate/499,1863-09-13,Glasgow,Glasgow,Europe,Scotland,Scotland,"Glasgow, Scotland",10/20/1935,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",,,,,,,,,,,Individual,United Kingdom,,,,,
1933,Peace,The Nobel Peace Prize,1,1,170332,5413093,12/10/1934,received,for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1933,498,Sir Norman Angell,Sir Norman Angell,Sir Norman,Angell,Sir Norman Angell (Ralph Lane),,male,http://masterdataapi.nobelprize.org/2/laureate/498,1872-12-26,Holbeach,Holbeach,Europe,United Kingdom,United Kingdom,"Holbeach, United Kingdom",10/7/1967,Croydon,Croydon,Europe,United Kingdom,United Kingdom,"Croydon, United Kingdom",,,,,,,,,,,Individual,United Kingdom,,,,,
1931,Peace,The Nobel Peace Prize,1,2-Jan,173206,5238085,12/10/1931,received,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1931,496,Jane Addams,Jane Addams,Jane,Addams,Jane Addams,,female,http://masterdataapi.nobelprize.org/2/laureate/496,1860-09-06,"Cedarville, IL","Cedarville, IL",North America,USA,USA,"Cedarville, IL, USA",5/21/1935,"Chicago, IL","Chicago, IL",North America,USA,USA,"Chicago, IL, USA",,,,,,,,,,,Individual,USA,,,,,
